species,common_name,goals,sun,evergreen,care,warning,native_regions,invasive_in
Quercus purulhana,Purulhana oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus michauxii,Swamp chestnut oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,n_america,
Quercus crenata,Crenata oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus albocincta,Albocincta oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus phellos,Willow oak,"shade,beauty",full,no,Fine-leaved shade oak for moist lowlands in the eastern US.,,n_america,
Quercus conzattii,Conzattii oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus glaucoides,Glaucoides oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Pinus wallichiana,Himalayan blue pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,himalaya,
Pinus nigra,European black pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"europe,mediterranean",
Pinus pinaster,Maritime pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,"Widely planted; invasive in parts of Australia, South Africa, and South America.",mediterranean,"australia,southern_africa,s_america"
Pinus devoniana,Devoniana pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus pseudostrobus,Pseudostrobus pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus roxburghii,Chir pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,himalaya,
Pinus albicaulis,Albicaulis pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus banksiana,Jack pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus lambertiana,Sugar pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus tecunumanii,Tecunumanii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus halepensis,Aleppo pine,"beauty,shade",full,yes,"Drought-tough Mediterranean pine. Good on dry, limestone slopes.",,mediterranean,
Pinus pinea,Italian stone pine,"food,beauty,shade",full,yes,"The pine-nut pine. Needs heat, sun, and well-drained soil.",,mediterranean,
Pinus rigida,Rigida pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus strobus,Eastern white pine,"shade,beauty",full,yes,"Fast, tall, soft-needled pine. Needs space and some shelter from salt wind.",,n_america,
Pinus koraiensis,Korean pine,"food,beauty,shade",full,yes,Source of Korean pine nuts. Slow; wants cool summers.,,e_asia,
Pinus discolor,Discolor pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus monophylla,Monophylla pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus maximinoi,Maximinoi pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus cembroides,Cembroides pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus lumholtzii,Lumholtzii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus herrerae,Herrerae pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus contorta,Lodgepole pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus palustris,Longleaf pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus resinosa,Red pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus arizonica,Arizonica pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus aristata,Aristata pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus parviflora,Parviflora pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus echinata,Echinata pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus merkusii,Merkusii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus yunnanensis,Yunnanensis pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus radiata,Monterey pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,Tiny native range in California; a plantation tree (and invader) elsewhere. Prefer a native pine if restoration is the goal.,n_america,"australia,s_america,southern_africa"
Pinus pumila,Pumila pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus ponderosa,Ponderosa pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus flexilis,Flexilis pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus mugo,Mountain pine,beauty,full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,europe,
Pinus leiophylla,Leiophylla pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus brutia,Turkish pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,mediterranean,
Pinus tabuliformis,Tabuliformis pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus oocarpa,Oocarpa pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus elliottii,Slash pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus teocote,Teocote pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus cembra,Swiss stone pine,"food,beauty",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,europe,
Pinus monticola,Monticola pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus coulteri,Coulter pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus canariensis,Canary Island pine,"beauty,shade",full,yes,Drought-tough once established. Popular street tree in warm-summer climates.,,canary,
Pinus patula,Patula pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,Common plantation pine outside Mexico.,mexico_ca,
Pinus kesiya,Kesiya pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus glabra,Glabra pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus lawsonii,Lawsonii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus engelmannii,Engelmannii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus sylvestris,Scots pine,"beauty,shade",full,yes,"Hardy pine for poor, sandy, or rocky soils. Needs full sun.",,"europe,siberia",
Pinus serotina,Serotina pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus sibirica,Siberian pine,"food,beauty",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"siberia,e_asia",
Pinus armandii,Armandii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus densata,Densata pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus jeffreyi,Jeffreyi pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus peuce,Macedonian pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,europe,
Pinus taeda,Loblolly pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus hartwegii,Hartwegii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus sabiniana,Gray pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,n_america,
Pinus greggii,Greggii pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus durangensis,Durangensis pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Pinus ayacahuite,Ayacahuite pine,"beauty,shade",full,yes,Needs sun and soil that drains. Do not keep the roots soggy.,,"n_america,europe,e_asia,mexico_ca,himalaya,mediterranean",
Acer sieboldianum,Sieboldianum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer glabrum,Rocky Mountain maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,n_america,
Acer laxiflorum,Laxiflorum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer cissifolium,Cissifolium maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer crataegifolium,Crataegifolium maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer negundo,Boxelder,shade,part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,"Weedy, weak-wooded. Fine for tough sites, poor as a specimen.",n_america,europe
Acer buergerianum,Trident maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,e_asia,
Acer caudatum,Caudatum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer stachyophyllum,Stachyophyllum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer rubrum,Red maple,"shade,beauty",part,no,Fast shade tree. Tolerates wet soil better than most maples.,,n_america,
Acer monspessulanum,Montpellier maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"mediterranean,europe",
Acer cappadocicum,Cappadocian maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"europe,e_asia",
Acer argutum,Argutum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer ginnala,Amur maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,e_asia,n_america
Acer campestre,Field maple,"beauty,shade",part,no,"A smaller European maple, good for hedges and modest gardens.",,europe,
Acer pseudoplatanus,Sycamore maple,"shade,beauty",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,Can seed aggressively outside mountain Europe.,europe,
Acer macrophyllum,Bigleaf maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,n_america,
Acer micranthum,Micranthum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer henryi,Henryi maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer amplum,Amplum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer tegmentosum,Tegmentosum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer sterculiaceum,Sterculiaceum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer opalus,Italian maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"europe,mediterranean",
Acer triflorum,Triflorum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer tataricum,Tatar maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"europe,e_asia",
Acer platanoides,Norway maple,"shade,beauty",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,Invasive in much of North America. Choose a native maple there.,europe,n_america
Acer forrestii,Forrestii maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer distylum,Distylum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer diabolicum,Diabolicum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer sempervirens,Sempervirens maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer saccharum,Sugar maple,"shade,food,beauty",part,no,"Classic fall color and maple syrup. Wants deep, well-drained soil; dislikes heat and road salt.",,n_america,
Acer palmatum,Japanese maple,beauty,part,no,Small ornamental. Shelter from hot afternoon sun and drying wind.,,e_asia,
Acer japonicum,Fullmoon maple,beauty,part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,e_asia,
Acer cinnamomifolium,Cinnamomifolium maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer tschonoskii,Tschonoskii maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer rufinerve,Rufinerve maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer pseudosieboldianum,Pseudosieboldianum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer obtusatum,Obtusatum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer oliverianum,Oliverianum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer saccharinum,Silver maple,shade,part,no,Very fast shade. Roots are aggressive.,Brittle wood; keep away from houses and pipes.,n_america,
Acer spicatum,Mountain maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,n_america,
Acer ukurunduense,Ukurunduense maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer komarovii,Komarovii maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer laevigatum,Laevigatum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer davidii,Davidii maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer hyrcanum,Hyrcanum maple,"beauty,shade",part,no,Prefers even moisture and mulch. Afternoon shade helps in hot summers.,,"n_america,europe,e_asia",
Acer griseum,Paperbark maple,beauty,part,no,"Grown for cinnamon bark. Slow, small, and needs good drainage.",,e_asia,
Fagus sylvatica,European beech,"shade,beauty",part,no,"A cathedral shade tree. Needs moisture; struggles in hot, dry, or compacted sites.",,europe,
Fagus orientalis,Oriental beech,"shade,beauty",part,no,"Likes rich, well-drained soil. Young trees need water in drought; not a dry-site tree.",,"europe,mediterranean",
Fagus japonica,Japanese beech,"shade,beauty",part,no,"Likes rich, well-drained soil. Young trees need water in drought; not a dry-site tree.",,e_asia,
Fagus grandifolia,American beech,"shade,beauty",part,no,"Likes rich, well-drained soil. Young trees need water in drought; not a dry-site tree.",Beech bark disease is spreading in eastern North America.,n_america,
Fagus sinensis,Sinensis beech,"shade,beauty",part,no,"Likes rich, well-drained soil. Young trees need water in drought; not a dry-site tree.",,"europe,n_america,e_asia",
Fagus longipetiolata,Longipetiolata beech,"shade,beauty",part,no,"Likes rich, well-drained soil. Young trees need water in drought; not a dry-site tree.",,"europe,n_america,e_asia",
Betula humilis,Humilis birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula alba,Alba birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula neoalaskana,Alaska birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,n_america,
Betula pubescens,Downy birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,siberia",
Betula lenta,Sweet birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,n_america,
Betula alleghaniensis,Yellow birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,n_america,
Betula utilis,Himalayan birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"himalaya,e_asia",
Betula glandulosa,Glandulosa birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula maximowicziana,Maximowicziana birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula davurica,Davurica birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula pendula,Silver birch,beauty,full,no,"Light canopy, white bark. Needs light and moisture; not for hot, dry yards.",Short-lived compared with oak or beech.,"europe,siberia",
Betula alnoides,Alnoides birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula corylifolia,Corylifolia birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula tianschanica,Tianschanica birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula schmidtii,Schmidtii birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula pumila,Pumila birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
Betula michauxii,Michauxii birch,beauty,full,no,"Likes cool, moist ground. In warm regions, bronze birch borer is a real risk.",Short-lived compared with oak or beech.,"europe,n_america,e_asia,siberia",
