species,common_name,use,region,notes
Tsuga canadensis,Eastern hemlock,timber,north_america,
Cedrus atlantica,Atlas cedar,street_park,africa,
Cedrus libani,Cedar of Lebanon,street_park,asia,
Cedrus deodara,Deodar cedar,street_park,asia,
Cupressus sempervirens,Italian cypress,ornamental,europe,
Cupressus macrocarpa,Monterey cypress,ornamental,north_america,
Chamaecyparis lawsoniana,Lawson cypress,ornamental,north_america,
Thuja plicata,Western red cedar,timber,north_america,
Thuja occidentalis,Eastern white cedar,ornamental,north_america,
Juniperus communis,Common juniper,native_woodland,europe,
Juniperus oxycedrus,Prickly juniper,native_woodland,europe,
Juniperus thurifera,Spanish juniper,native_woodland,europe,
Juniperus virginiana,Eastern red cedar,street_park,north_america,
Taxus baccata,European yew,ornamental,europe,
Sequoia sempervirens,Coast redwood,timber,north_america,
Sequoiadendron giganteum,Giant sequoia,street_park,north_america,
Taxodium distichum,Bald cypress,street_park,north_america,
Araucaria araucana,Monkey puzzle,ornamental,south_america,
Araucaria angustifolia,Parana pine,timber,south_america,
Araucaria heterophylla,Norfolk Island pine,street_park,oceania,
Azadirachta indica,Neem,agroforestry,asia,
Mangifera indica,Mango,fruit_nut,asia,
Tectona grandis,Teak,timber,asia,
Dalbergia sissoo,Indian rosewood,timber,asia,
Syzygium cumini,Java plum,fruit_nut,asia,
Psidium guajava,Guava,fruit_nut,south_america,
Artocarpus heterophyllus,Jackfruit,fruit_nut,asia,
Cocos nucifera,Coconut palm,fruit_nut,tropics,
Phoenix dactylifera,Date palm,fruit_nut,africa,
Carica papaya,Papaya,fruit_nut,south_america,
Persea americana,Avocado,fruit_nut,south_america,
Anacardium occidentale,Cashew,fruit_nut,south_america,
Tamarindus indica,Tamarind,fruit_nut,africa,
Moringa oleifera,Moringa,agroforestry,asia,
Melia azedarach,Chinaberry,street_park,asia,
Albizia lebbeck,Indian siris,agroforestry,asia,
Cassia fistula,Golden shower,ornamental,asia,
Delonix regia,Flamboyant,street_park,africa,
Peltophorum pterocarpum,Yellow flame tree,street_park,asia,
Millettia pinnata,Pongamia,agroforestry,asia,
Ficus religiosa,Sacred fig,street_park,asia,
Ficus benghalensis,Banyan,street_park,asia,
Ficus benjamina,Weeping fig,ornamental,asia,
Ficus elastica,Rubber fig,ornamental,asia,
Terminalia catappa,Indian almond,street_park,asia,
Terminalia arjuna,Arjun,agroforestry,asia,
Gmelina arborea,Gmelina,timber,asia,
Alstonia scholaris,Devil tree,street_park,asia,
Lagerstroemia speciosa,Pride of India,ornamental,asia,
Lagerstroemia indica,Crape myrtle,ornamental,asia,
Bauhinia variegata,Orchid tree,ornamental,asia,
Erythrina variegata,Coral tree,street_park,asia,
Cinnamomum camphora,Camphor tree,street_park,asia,
Cinnamomum verum,Cinnamon,agroforestry,asia,
Toona ciliata,Australian red cedar,timber,asia,
Litchi chinensis,Lychee,fruit_nut,asia,
Averrhoa carambola,Starfruit,fruit_nut,asia,
Annona squamosa,Sugar apple,fruit_nut,south_america,
Syzygium jambos,Rose apple,fruit_nut,asia,
Pithecellobium dulce,Manila tamarind,agroforestry,south_america,
Leucaena leucocephala,River tamarind,agroforestry,south_america,invasive in places
Sesbania grandiflora,Vegetable hummingbird,agroforestry,asia,
Gliricidia sepium,Gliricidia,agroforestry,south_america,
Ziziphus mauritiana,Indian jujube,fruit_nut,asia,
Prosopis cineraria,Khejri,agroforestry,asia,
Adansonia digitata,Baobab,agroforestry,africa,
Vitellaria paradoxa,Shea,agroforestry,africa,
Faidherbia albida,Winter thorn,agroforestry,africa,
Vachellia nilotica,Gum arabic tree,agroforestry,africa,
Senegalia senegal,Gum acacia,agroforestry,africa,
Khaya senegalensis,African mahogany,timber,africa,
Milicia excelsa,Iroko,timber,africa,
Cordia africana,Sudan teak,timber,africa,
Sclerocarya birrea,Marula,fruit_nut,africa,
Parkia biglobosa,African locust bean,agroforestry,africa,
Swietenia macrophylla,Big-leaf mahogany,timber,south_america,
Cedrela odorata,Spanish cedar,timber,south_america,
Handroanthus impetiginosus,Pink ipe,street_park,south_america,
Ceiba pentandra,Kapok,street_park,tropics,
Bertholletia excelsa,Brazil nut,fruit_nut,south_america,
Hevea brasiliensis,Rubber tree,agroforestry,south_america,
Theobroma cacao,Cacao,agroforestry,south_america,
Jacaranda mimosifolia,Jacaranda,street_park,south_america,
Schinus molle,Peruvian pepper tree,street_park,south_america,
Tipuana tipu,Tipu tree,street_park,south_america,
Spathodea campanulata,African tulip tree,street_park,africa,invasive in places
Enterolobium cyclocarpum,Guanacaste,street_park,south_america,
Inga edulis,Ice cream bean,agroforestry,south_america,
Eucalyptus globulus,Tasmanian blue gum,timber,oceania,
Eucalyptus camaldulensis,River red gum,timber,oceania,
Eucalyptus grandis,Flooded gum,timber,oceania,
Eucalyptus tereticornis,Forest red gum,timber,oceania,
Eucalyptus gunnii,Cider gum,ornamental,oceania,
Eucalyptus viminalis,Manna gum,timber,oceania,
Corymbia citriodora,Lemon-scented gum,street_park,oceania,
Corymbia maculata,Spotted gum,timber,oceania,
Angophora costata,Sydney red gum,street_park,oceania,
Acacia dealbata,Silver wattle,ornamental,oceania,invasive in Europe
Acacia melanoxylon,Blackwood,timber,oceania,
Acacia mearnsii,Black wattle,agroforestry,oceania,invasive in places
Casuarina equisetifolia,Beach sheoak,agroforestry,oceania,
Melaleuca quinquenervia,Broad-leaved paperbark,street_park,oceania,
Grevillea robusta,Silky oak,agroforestry,oceania,
Banksia integrifolia,Coast banksia,street_park,oceania,
Metrosideros excelsa,Pohutukawa,street_park,oceania,
Agathis australis,Kauri,timber,oceania,
Nothofagus dombeyi,Coihue,native_woodland,south_america,
Podocarpus macrophyllus,Buddhist pine,ornamental,asia,
Polylepis australis,Queniua,native_woodland,south_america,
